Subject_ID,Model_ID,Task_ID,Performance_Metric,Value
Subj_001,Model_Top_01,Task1a,Accuracy,0.938689
Subj_001,Model_Top_01,Task1a,Precision,0.951147
Subj_001,Model_Top_01,Task1a,Recall,0.924883
Subj_001,Model_Top_01,Task1a,F1_score,0.937831
Subj_001,Model_Top_01,Task1a,F2_score,0.930019
Subj_002,Model_Top_01,Task1a,Accuracy,0.916659
Subj_002,Model_Top_01,Task1a,Precision,0.935952
Subj_002,Model_Top_01,Task1a,Recall,0.894532
Subj_002,Model_Top_01,Task1a,F1_score,0.914773
Subj_002,Model_Top_01,Task1a,F2_score,0.90252
Subj_003,Model_Top_01,Task1a,Accuracy,0.900501
Subj_003,Model_Top_01,Task1a,Precision,0.936475
Subj_003,Model_Top_01,Task1a,Recall,0.859292
Subj_003,Model_Top_01,Task1a,F1_score,0.896225
Subj_003,Model_Top_01,Task1a,F2_score,0.873693
Subj_004,Model_Top_01,Task1a,Accuracy,0.88554
Subj_004,Model_Top_01,Task1a,Precision,0.898354
Subj_004,Model_Top_01,Task1a,Recall,0.869457
Subj_004,Model_Top_01,Task1a,F1_score,0.883669
Subj_004,Model_Top_01,Task1a,F2_score,0.875087
Subj_005,Model_Top_01,Task1a,Accuracy,0.913865
Subj_005,Model_Top_01,Task1a,Precision,0.910896
Subj_005,Model_Top_01,Task1a,Recall,0.917478
Subj_005,Model_Top_01,Task1a,F1_score,0.914175
Subj_005,Model_Top_01,Task1a,F2_score,0.916154
Subj_006,Model_Top_01,Task1a,Accuracy,0.905459
Subj_006,Model_Top_01,Task1a,Precision,0.913454
Subj_006,Model_Top_01,Task1a,Recall,0.89579
Subj_006,Model_Top_01,Task1a,F1_score,0.904536
Subj_006,Model_Top_01,Task1a,F2_score,0.899268
Subj_007,Model_Top_01,Task1a,Accuracy,0.93667
Subj_007,Model_Top_01,Task1a,Precision,0.974919
Subj_007,Model_Top_01,Task1a,Recall,0.8964
Subj_007,Model_Top_01,Task1a,F1_score,0.934012
Subj_007,Model_Top_01,Task1a,F2_score,0.911076
Subj_008,Model_Top_01,Task1a,Accuracy,0.921458
Subj_008,Model_Top_01,Task1a,Precision,0.959259
Subj_008,Model_Top_01,Task1a,Recall,0.880304
Subj_008,Model_Top_01,Task1a,F1_score,0.918087
Subj_008,Model_Top_01,Task1a,F2_score,0.895038
Subj_009,Model_Top_01,Task1a,Accuracy,0.908317
Subj_009,Model_Top_01,Task1a,Precision,0.93297
Subj_009,Model_Top_01,Task1a,Recall,0.879847
Subj_009,Model_Top_01,Task1a,F1_score,0.90563
Subj_009,Model_Top_01,Task1a,F2_score,0.889982
Subj_010,Model_Top_01,Task1a,Accuracy,0.929483
Subj_010,Model_Top_01,Task1a,Precision,0.929246
Subj_010,Model_Top_01,Task1a,Recall,0.92976
Subj_010,Model_Top_01,Task1a,F1_score,0.929503
Subj_010,Model_Top_01,Task1a,F2_score,0.929657
Subj_011,Model_Top_01,Task1a,Accuracy,0.902778
Subj_011,Model_Top_01,Task1a,Precision,0.890542
Subj_011,Model_Top_01,Task1a,Recall,0.918444
Subj_011,Model_Top_01,Task1a,F1_score,0.904278
Subj_011,Model_Top_01,Task1a,F2_score,0.912725
Subj_012,Model_Top_01,Task1a,Accuracy,0.919154
Subj_012,Model_Top_01,Task1a,Precision,0.945326
Subj_012,Model_Top_01,Task1a,Recall,0.889768
Subj_012,Model_Top_01,Task1a,F1_score,0.916706
Subj_012,Model_Top_01,Task1a,F2_score,0.900351
Subj_013,Model_Top_01,Task1a,Accuracy,0.9028
Subj_013,Model_Top_01,Task1a,Precision,0.898383
Subj_013,Model_Top_01,Task1a,Recall,0.908344
Subj_013,Model_Top_01,Task1a,F1_score,0.903336
Subj_013,Model_Top_01,Task1a,F2_score,0.906334
Subj_014,Model_Top_01,Task1a,Accuracy,0.918835
Subj_014,Model_Top_01,Task1a,Precision,0.923936
Subj_014,Model_Top_01,Task1a,Recall,0.912819
Subj_014,Model_Top_01,Task1a,F1_score,0.918344
Subj_014,Model_Top_01,Task1a,F2_score,0.915021
Subj_015,Model_Top_01,Task1a,Accuracy,0.94477
Subj_015,Model_Top_01,Task1a,Precision,0.939307
Subj_015,Model_Top_01,Task1a,Recall,0.950989
Subj_015,Model_Top_01,Task1a,F1_score,0.945112
Subj_015,Model_Top_01,Task1a,F2_score,0.948629
Subj_001,Model_Top_02,Task1a,Accuracy,0.894368
Subj_001,Model_Top_02,Task1a,Precision,0.927775
Subj_001,Model_Top_02,Task1a,Recall,0.85532
Subj_001,Model_Top_02,Task1a,F1_score,0.890076
Subj_001,Model_Top_02,Task1a,F2_score,0.868891
Subj_002,Model_Top_02,Task1a,Accuracy,0.917703
Subj_002,Model_Top_02,Task1a,Precision,0.940181
Subj_002,Model_Top_02,Task1a,Recall,0.89217
Subj_002,Model_Top_02,Task1a,F1_score,0.915547
Subj_002,Model_Top_02,Task1a,F2_score,0.901376
Subj_003,Model_Top_02,Task1a,Accuracy,0.943598
Subj_003,Model_Top_02,Task1a,Precision,0.975147
Subj_003,Model_Top_02,Task1a,Recall,0.910399
Subj_003,Model_Top_02,Task1a,F1_score,0.941661
Subj_003,Model_Top_02,Task1a,F2_score,0.922651
Subj_004,Model_Top_02,Task1a,Accuracy,0.937703
Subj_004,Model_Top_02,Task1a,Precision,0.945444
Subj_004,Model_Top_02,Task1a,Recall,0.929015
Subj_004,Model_Top_02,Task1a,F1_score,0.937157
Subj_004,Model_Top_02,Task1a,F2_score,0.932255
Subj_005,Model_Top_02,Task1a,Accuracy,0.885004
Subj_005,Model_Top_02,Task1a,Precision,0.89964
Subj_005,Model_Top_02,Task1a,Recall,0.866692
Subj_005,Model_Top_02,Task1a,F1_score,0.882859
Subj_005,Model_Top_02,Task1a,F2_score,0.873087
Subj_006,Model_Top_02,Task1a,Accuracy,0.892454
Subj_006,Model_Top_02,Task1a,Precision,0.90741
Subj_006,Model_Top_02,Task1a,Recall,0.874099
Subj_006,Model_Top_02,Task1a,F1_score,0.890443
Subj_006,Model_Top_02,Task1a,F2_score,0.880564
Subj_007,Model_Top_02,Task1a,Accuracy,0.898656
Subj_007,Model_Top_02,Task1a,Precision,0.894071
Subj_007,Model_Top_02,Task1a,Recall,0.904473
Subj_007,Model_Top_02,Task1a,F1_score,0.899242
Subj_007,Model_Top_02,Task1a,F2_score,0.902373
Subj_008,Model_Top_02,Task1a,Accuracy,0.888504
Subj_008,Model_Top_02,Task1a,Precision,0.928283
Subj_008,Model_Top_02,Task1a,Recall,0.842064
Subj_008,Model_Top_02,Task1a,F1_score,0.883074
Subj_008,Model_Top_02,Task1a,F2_score,0.858002
Subj_009,Model_Top_02,Task1a,Accuracy,0.900374
Subj_009,Model_Top_02,Task1a,Precision,0.904772
Subj_009,Model_Top_02,Task1a,Recall,0.894941
Subj_009,Model_Top_02,Task1a,F1_score,0.89983
Subj_009,Model_Top_02,Task1a,F2_score,0.89689
Subj_010,Model_Top_02,Task1a,Accuracy,0.952577
Subj_010,Model_Top_02,Task1a,Precision,0.959706
Subj_010,Model_Top_02,Task1a,Recall,0.944822
Subj_010,Model_Top_02,Task1a,F1_score,0.952206
Subj_010,Model_Top_02,Task1a,F2_score,0.947762
Subj_011,Model_Top_02,Task1a,Accuracy,0.944431
Subj_011,Model_Top_02,Task1a,Precision,0.99
Subj_011,Model_Top_02,Task1a,Recall,0.897931
Subj_011,Model_Top_02,Task1a,F1_score,0.941721
Subj_011,Model_Top_02,Task1a,F2_score,0.914949
Subj_012,Model_Top_02,Task1a,Accuracy,0.868339
Subj_012,Model_Top_02,Task1a,Precision,0.905544
Subj_012,Model_Top_02,Task1a,Recall,0.822469
Subj_012,Model_Top_02,Task1a,F1_score,0.86201
Subj_012,Model_Top_02,Task1a,F2_score,0.837842
Subj_013,Model_Top_02,Task1a,Accuracy,0.904645
Subj_013,Model_Top_02,Task1a,Precision,0.942802
Subj_013,Model_Top_02,Task1a,Recall,0.86156
Subj_013,Model_Top_02,Task1a,F1_score,0.900352
Subj_013,Model_Top_02,Task1a,F2_score,0.876668
Subj_014,Model_Top_02,Task1a,Accuracy,0.897346
Subj_014,Model_Top_02,Task1a,Precision,0.92256
Subj_014,Model_Top_02,Task1a,Recall,0.867512
Subj_014,Model_Top_02,Task1a,F1_score,0.894189
Subj_014,Model_Top_02,Task1a,F2_score,0.877989
Subj_015,Model_Top_02,Task1a,Accuracy,0.924469
Subj_015,Model_Top_02,Task1a,Precision,0.930696
Subj_015,Model_Top_02,Task1a,Recall,0.91724
Subj_015,Model_Top_02,Task1a,F1_score,0.923919
Subj_015,Model_Top_02,Task1a,F2_score,0.9199
Subj_001,Model_Top_03,Task1a,Accuracy,0.933109
Subj_001,Model_Top_03,Task1a,Precision,0.940715
Subj_001,Model_Top_03,Task1a,Recall,0.924479
Subj_001,Model_Top_03,Task1a,F1_score,0.932526
Subj_001,Model_Top_03,Task1a,F2_score,0.927682
Subj_002,Model_Top_03,Task1a,Accuracy,0.910616
