Subject_ID,Model_ID,Task_ID,Performance_Metric,Value
Subj_01,Model_Top_001,Task2,DSC_Hippocampus_L,0.804446
Subj_01,Model_Top_001,Task2,HD_Hippocampus_L,2.003213
Subj_01,Model_Top_001,Task2,HD95_Hippocampus_L,1.342395
Subj_01,Model_Top_001,Task2,ASSD_Hippocampus_L,0.528954
Subj_01,Model_Top_001,Task2,RVE_Hippocampus_L,3.218486
Subj_01,Model_Top_001,Task2,DSC_Hippocampus_R,0.801688
Subj_01,Model_Top_001,Task2,HD_Hippocampus_R,1.523616
Subj_01,Model_Top_001,Task2,HD95_Hippocampus_R,1.362726
Subj_01,Model_Top_001,Task2,ASSD_Hippocampus_R,0.538448
Subj_01,Model_Top_001,Task2,RVE_Hippocampus_R,3.228572
Subj_01,Model_Top_001,Task2,DSC_Ventricle_L,0.884327
Subj_01,Model_Top_001,Task2,HD_Ventricle_L,2.467507
Subj_01,Model_Top_001,Task2,HD95_Ventricle_L,1.871136
Subj_01,Model_Top_001,Task2,ASSD_Ventricle_L,0.720326
Subj_01,Model_Top_001,Task2,RVE_Ventricle_L,2.1519
Subj_01,Model_Top_001,Task2,DSC_Ventricle_R,0.91574
Subj_01,Model_Top_001,Task2,HD_Ventricle_R,2.453115
Subj_01,Model_Top_001,Task2,HD95_Ventricle_R,1.573877
Subj_01,Model_Top_001,Task2,ASSD_Ventricle_R,0.591341
Subj_01,Model_Top_001,Task2,RVE_Ventricle_R,0.870441
Subj_01,Model_Top_001,Task2,DSC_Caudate_L,0.831893
Subj_01,Model_Top_001,Task2,HD_Caudate_L,1.094332
Subj_01,Model_Top_001,Task2,HD95_Caudate_L,0.987447
Subj_01,Model_Top_001,Task2,ASSD_Caudate_L,0.375403
Subj_01,Model_Top_001,Task2,RVE_Caudate_L,1.552588
Subj_01,Model_Top_001,Task2,DSC_Caudate_R,0.831558
Subj_01,Model_Top_001,Task2,HD_Caudate_R,1.363254
Subj_01,Model_Top_001,Task2,HD95_Caudate_R,0.989426
Subj_01,Model_Top_001,Task2,ASSD_Caudate_R,0.376266
Subj_01,Model_Top_001,Task2,RVE_Caudate_R,1.362374
Subj_01,Model_Top_001,Task2,DSC_Lentiform_L,0.838845
Subj_01,Model_Top_001,Task2,HD_Lentiform_L,2.041107
Subj_01,Model_Top_001,Task2,HD95_Lentiform_L,1.377618
Subj_01,Model_Top_001,Task2,ASSD_Lentiform_L,0.529553
Subj_01,Model_Top_001,Task2,RVE_Lentiform_L,2.074363
Subj_01,Model_Top_001,Task2,DSC_Lentiform_R,0.871832
Subj_01,Model_Top_001,Task2,HD_Lentiform_R,1.692863
Subj_01,Model_Top_001,Task2,HD95_Lentiform_R,1.137486
Subj_01,Model_Top_001,Task2,ASSD_Lentiform_R,0.426333
Subj_01,Model_Top_001,Task2,RVE_Lentiform_R,0.288109
Subj_01,Model_Top_001,Task2,DSC_Thalamus_L,0.860992
Subj_01,Model_Top_001,Task2,HD_Thalamus_L,2.382961
Subj_01,Model_Top_001,Task2,HD95_Thalamus_L,1.560289
